]633;E;printf "sample\\tgroup\\tpercent\\n";e7642c78-eed8-4ffc-8e14-9099413050ca]633;Csample	group	percent
ERR2225804.STAR.Aligned.sortedByCoord.out	CDS_Exons	411.86
ERR2225804.STAR.Aligned.sortedByCoord.out	Introns	1.23
ERR2225804.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.20
ERR2225804.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.66
ERR2225805.STAR.Aligned.sortedByCoord.out	CDS_Exons	325.58
ERR2225805.STAR.Aligned.sortedByCoord.out	Introns	0.71
ERR2225805.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.14
ERR2225805.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.63
ERR2225806.STAR.Aligned.sortedByCoord.out	CDS_Exons	388.70
ERR2225806.STAR.Aligned.sortedByCoord.out	Introns	1.06
ERR2225806.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.18
ERR2225806.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.73
ERR2225807.STAR.Aligned.sortedByCoord.out	CDS_Exons	384.41
ERR2225807.STAR.Aligned.sortedByCoord.out	Introns	1.18
ERR2225807.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.17
ERR2225807.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.60
ERR2225808.STAR.Aligned.sortedByCoord.out	CDS_Exons	420.58
ERR2225808.STAR.Aligned.sortedByCoord.out	Introns	0.83
ERR2225808.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.14
ERR2225808.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.49
ERR2225809.STAR.Aligned.sortedByCoord.out	CDS_Exons	432.54
ERR2225809.STAR.Aligned.sortedByCoord.out	Introns	1.40
ERR2225809.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.21
ERR2225809.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.78
ERR2225810.STAR.Aligned.sortedByCoord.out	CDS_Exons	398.07
ERR2225810.STAR.Aligned.sortedByCoord.out	Introns	1.33
ERR2225810.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.21
ERR2225810.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.71
ERR2225811.STAR.Aligned.sortedByCoord.out	CDS_Exons	340.11
ERR2225811.STAR.Aligned.sortedByCoord.out	Introns	1.46
ERR2225811.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.21
ERR2225811.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.72
ERR2225812.STAR.Aligned.sortedByCoord.out	CDS_Exons	452.07
ERR2225812.STAR.Aligned.sortedByCoord.out	Introns	0.57
ERR2225812.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.09
ERR2225812.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.34
ERR2225813.STAR.Aligned.sortedByCoord.out	CDS_Exons	393.42
ERR2225813.STAR.Aligned.sortedByCoord.out	Introns	1.43
ERR2225813.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.24
ERR2225813.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.80
ERR2225814.STAR.Aligned.sortedByCoord.out	CDS_Exons	411.75
ERR2225814.STAR.Aligned.sortedByCoord.out	Introns	0.83
ERR2225814.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.16
ERR2225814.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.53
ERR2225815.STAR.Aligned.sortedByCoord.out	CDS_Exons	364.84
ERR2225815.STAR.Aligned.sortedByCoord.out	Introns	0.93
ERR2225815.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.15
ERR2225815.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.52
ERR2225816.STAR.Aligned.sortedByCoord.out	CDS_Exons	540.05
ERR2225816.STAR.Aligned.sortedByCoord.out	Introns	0.90
ERR2225816.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.17
ERR2225816.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.56
ERR2225817.STAR.Aligned.sortedByCoord.out	CDS_Exons	368.80
ERR2225817.STAR.Aligned.sortedByCoord.out	Introns	1.09
ERR2225817.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.18
ERR2225817.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.58
ERR2225818.STAR.Aligned.sortedByCoord.out	CDS_Exons	375.59
ERR2225818.STAR.Aligned.sortedByCoord.out	Introns	0.80
ERR2225818.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.16
ERR2225818.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.52
ERR2225819.STAR.Aligned.sortedByCoord.out	CDS_Exons	402.64
ERR2225819.STAR.Aligned.sortedByCoord.out	Introns	1.10
ERR2225819.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.20
ERR2225819.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.64
ERR2225820.STAR.Aligned.sortedByCoord.out	CDS_Exons	430.79
ERR2225820.STAR.Aligned.sortedByCoord.out	Introns	1.11
ERR2225820.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.19
ERR2225820.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.57
ERR2225821.STAR.Aligned.sortedByCoord.out	CDS_Exons	407.75
ERR2225821.STAR.Aligned.sortedByCoord.out	Introns	1.18
ERR2225821.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.17
ERR2225821.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.54
ERR2225822.STAR.Aligned.sortedByCoord.out	CDS_Exons	387.27
ERR2225822.STAR.Aligned.sortedByCoord.out	Introns	1.17
ERR2225822.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.21
ERR2225822.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.63
ERR2225823.STAR.Aligned.sortedByCoord.out	CDS_Exons	368.19
ERR2225823.STAR.Aligned.sortedByCoord.out	Introns	1.21
ERR2225823.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.19
ERR2225823.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.62
